english,hsk_level,chinese,pinyin
The aircraft was flying above thick fog.,3,飞机在浓雾上空飞行。,fēi jī zài nóng wù shàng kōng fēi xíng。
The inner circles of government.,3,政府中较具影响力的圈子,zhèng fǔ zhòng jiào jù yǐng xiǎng lì de quān zi
Let me relieve you of your coat and hat.,3,让我替你拿外衣和帽子吧.,ràng wǒ tì nǐ ná wài yī huò mào zi ba.
Brains are more than just education.,3,有头脑不仅指受过教育。,yǒu tóu nǎo bù jǐn zhǐ shòu guò jiào yù。
Shut the jewels up in the safe.,3,把这些宝石藏在保险箱里.,bǎ zhè xie bǎo shí zàng zài bǎo xiǎn xiāng lǐ.
I'll do everything possible to help you.,3,我会尽一切可能帮助你。,wǒ kuài jìn yī qiè kě néng bāng zhù nǐ。
The boss forced this difficult task upon him.,3,老板强迫他做此难事。,lǎo bǎn qiǎng pò tā zuò cǐ nàn shì。
I must get the radio fixed.,3,我必须找人把收音机修理好。,wǒ bì xū zhǎo rén bǎ shōu yīn jī xiū lǐ hào。
She is studying in a theatre workshop.,3,她正在戏剧研讨班学习。,tā zhèng zài xì jù yán tǎo bān xué xí。
The battlefield was a fearsome sight.,3,这战场的情景触目惊心.,zhè zhàn chǎng de qíng jǐng chù mù jīng xīn.
Stones were flying about in every direction.,3,石块朝四面八方乱飞。,shí kuài cháo sì miàn bā fāng luàn fēi。
Birds sing loudest in the early morning.,3,鸟儿在清晨高声歌唱。,niǎo er zài qīng chén gāo shēng gē chàng。
We measured the difference(s) in temperature.,3,我们测量了温度的变化.,wǒ men cè liàng le wēn dù de biàn huà.
Birds sing loudest in the early morning.,3,鸟儿在清晨高声歌唱。,niǎo er zài qīng chén gāo shēng gē chàng。
Don't drop cigarette ash on the carpet.,3,不要把烟灰掉在地毯上。,bù yào bǎ yān huī diào zài dì tǎn shàng。
This floor needs a good sweep.,3,这地板需要好好清扫一下。,zhè dì bǎn xū yào hǎo hǎo qīng sǎo yī xià。
These seats are reserved for special guests.,3,这些座位是留给贵宾的.,zhè xie zuò wèi shì liú jǐ guì bīn de.
A fearful person is a weak person.,3,怕这怕那的人是软弱的人。,pà zhè pà nà de rén shì ruǎn ruò de rén。
"Not requiring water, as a cooling system.",3,不需水的，如一冷却系统,bù xū shuǐ de， rú yī lěng què xì tǒng
All this is totally unnecessary.,3,所有这些完全都是多余的。,suǒ yǒu zhè xie wán quán dōu shì duō yú de。
This house is unfit for human habitation.,3,这所房子不适合人居住。,zhè suǒ fáng zi bù shì hé rén jū zhù。
I don't know whether he is willing to come.,3,我不知道他是否愿意来。,wǒ bù zhī dào tā shì fǒu yuàn yì lái。
"In case (=If) I forget, please remind me.",3,万一我忘记，请提醒我。,wàn yī wǒ wàng jì， qǐng tí xǐng wǒ。
He stood aghast at the terrible sight.,3,他被那可怕的景象吓呆了.,tā bèi nà kě pà de jǐng xiàng xià dāi le.
Hemp can be used for cloth and ropes.,3,大麻可用来做衣服和绳子。,dà má kě yòng lái zuò yī fu huò shéng zi。
A slogan is over the blackboard.,3,一条标语在黑板正上方。,yī tiáo biāo yǔ zài hēi bǎn zhèng shàng fāng。
I'm full of the joys of spring.,3,我心里充满了青春的欢乐。,wǒ xīn lǐ chōng mǎn le qīng chūn de huān lè。
He was an Air Marshal before retirement.,3,他退休前是空军中将。,tā tuì xiū qián shì kōng jūn zhōng jiàng。
This behaviour illustrates your selfishness.,3,你的行为说明你很自私.,nǐ de xíng wéi shuō míng nǐ hěn zì sī.
Heavy rain came on the heels of the lightening.,3,大雨紧跟着闪电而来。,dà yǔ jǐn gēn zhe shǎn diàn ér lái。
"The island is seldom, if ever, visited by ships.",3,这个岛难得有船停靠.,zhè gè dǎo nán dé yǒu chuán tíng kào.
I'm full of the joys of spring.,3,我心里充满了青春的欢乐。,wǒ xīn lǐ chōng mǎn le qīng chūn de huān lè。
We had to take preventive measures.,3,我们不得不采取预防措施。,wǒ men bù dé bù cǎi qǔ yù fáng cuò shī。
The five-star red flag is fluttering in the wind.,3,五星红旗迎风飘扬。,wǔ xīng hóng qí yíng fēng piāo yáng。
She sent him off in high spirits.,3,她兴高采烈地为他送行。,tā xìng gāo cài liè de wèi tā sòng xíng。
Our living room is covered with a carpet.,3,我们的起居室里铺了地毯。,wǒ men de qǐ jū shì lǐ pù le dì tǎn。
Smoking is not good for your health.,3,吸烟对你的健康没有好处。,xī yān duì nǐ de jiàn kāng méi yǒu hǎo chu。
News of his death was cabled to his family.,3,他的死讯已电告其家属。,tā de sǐ xùn yǐ diàn gào qí jiā shǔ。
The general commanded his men to attack the city.,3,将军下令部下攻城。,jiāng jūn xià lìng bù xià gōng chéng。
The sheets have worn thin in the middle.,3,床单的中间部分磨薄了。,chuáng dān de zhōng jiān bù fen mò bò le。
He was all kitted out to go skiing.,3,他已整装待发要去滑雪了.,tā yǐ zhěng zhuāng dài fà yào qù huá xuě le.
It is said that our progenitors are monkeys.,3,据说我们的祖先是猴子。,jù shuō wǒ men de zǔ xiān shì hóu zi。
Bread is chiefly made of flour.,3,面包主要是由面粉做成的。,miàn bāo zhǔ yào shì yóu miàn fěn zuò chéng de。
Bed the roots in the compost.,3,把植物的根插入混合肥料中.,bǎ zhí wù de gēn chā rù hùn hé féi liào zhòng.
His conduct has always been above suspicion.,3,他的行为一直无可质疑。,tā de xíng wéi yī zhí wú kě zhì yí。
His conduct speaks him honorable.,3,他的行为表明他是可敬的。,tā de xíng wéi biǎo míng tā shì kě jìng de。
I've decided to buy that bike.,3,我已决定购买那辆自行车。,wǒ yǐ jué dìng gòu mǎi nà liàng zì xíng chē。
He must needs go away when he was wanted.,3,要找他时，他偏偏不在。,yào zhǎo tā shí， tā piān piān bù zài。
Her eyes were sparkling with happiness.,3,她两眼露出幸福的光彩。,tā liǎng yǎn lù chū xìng fú de guāng cǎi。
The medicine produced a violent reaction.,3,这药物引起了剧烈的反应.,zhè yào wù yǐn qǐ le jù liè de fǎn yìng.
I don't rate his merits very high.,3,我对他的功劳评价不很高。,wǒ duì tā de gōng láo píng jià bù hěn gāo。
He decided to dwell on our island.,3,他决定到我们的岛上居住。,tā jué dìng dào wǒ men de dǎo shàng jū zhù。
The two villages are three miles apart.,3,这两个村子相距三英里。,zhè liǎng gè cūn zi xiàng jù sān yīng lǐ。
We stand up for the cause of liberty and justice.,3,我们拥护自由和正义。,wǒ men yōng hù zì yóu huò zhèng yì。
She gulped back her tears and tried to smile.,3,"她咽下眼泪, 强作笑容.","tā yè xià yǎn lèi,  qiáng zuò xiào róng."
The medicine produced a violent reaction.,3,这药物引起了剧烈的反应.,zhè yào wù yǐn qǐ le jù liè de fǎn yìng.
Better reduce the price than allow a discount.,3,与其给折扣，不如减价。,yǔ qí jǐ zhé kòu， bù rú jiǎn jià。
He left the house in high spirits.,3,他兴高采烈地离开了屋子。,tā xìng gāo cài liè de lí kāi le wū zi。
We have to put up with her bad temper.,3,我们只得忍受她的坏脾气。,wǒ men zhǐ dé rěn shòu tā de huài pí qì。
He is no less clever than his elder brother.,3,他和他的大哥一样聪明。,tā huò tā de dà gē yí yàng cōng míng。
All cars require servicing regularly.,3,所有汽车都需要定期检修.,suǒ yǒu qì chē dōu xū yào dìng qī jiǎn xiū.
Add up all the money I owe you.,3,把我应付你的钱都加在一起。,bǎ wǒ yìng fu nǐ de qián dōu jiā zài yī qǐ。
We have to put up with her bad temper.,3,我们只得忍受她的坏脾气。,wǒ men zhǐ dé rěn shòu tā de huài pí qì。
The boys were champing to start.,3,男孩儿们恨不得马上就出发.,nán háir men hèn bù dé mǎ shàng jiù chū fā.
The TV stays on all day at this place.,3,这个地方的电视成天开著.,zhè gè dì fang de diàn shì chéng tiān kāi著.
The ball hit the wall and bounced off it.,3,球打在墙上又反弹回来。,qiú dǎ zài qiáng shàng yòu fǎn dàn huí lai。
She crooked her little finger as she drank her tea.,3,她喝茶时弯起小指头。,tā hè chá shí wān qǐ xiǎo zhǐ tou。
She was received with warm applause.,3,大家以热烈的掌声欢迎她.,dà jiā yǐ rè liè de zhǎng shēng huān yíng tā.
The children lined up in an orderly fashion.,3,孩子们整整齐齐排好队。,hái zi men zhěng zhěng qí qí pǎi hào duì。
She seems to do these things on purpose.,3,她似乎是有意地做这些事。,tā sì hu shì yǒu yì de zuò zhè xie shì。
His political views are rather extreme.,3,他的政治观点相当极端。,tā de zhèng zhì guān diǎn xiāng dāng jí duān。
Color flags added to the gaiety of the festival.,3,彩旗增加了节日的欢乐。,cǎi qí zēng jiā le jié rì de huān lè。
He slipped and fell ten feet.,3,他失足自十英尺高处跌了下来.,tā shī zú zì shí yīng chǐ gāo chù diē le xia lai.
Maybe he just came by to drop in.,3,也许就是路过顺便来看看。,yě xǔ jiù shì lù guò shùn biàn lái kàn kàn。
She gave every appearance of being extremely rich.,3,她处处表现得极为阔气.,tā chù chù biǎo xiàn de jí wéi kuò qì.
She made a sign for me to approach her.,3,她对我发出靠近她的暗号。,tā duì wǒ fā chū kào jìn tā de àn hào。
They ceded territory to a neighboring state.,3,他们把领土割让给邻国。,tā men bǎ lǐng tǔ gē ràng jǐ lín guó。
He has more than three times my money.,3,他的钱是我的三倍还不止。,tā de qián shì wǒ de sān bèi huán bù zhǐ。
You should take more pride in your appearance.,3,你应该多注意一点仪表.,nǐ yīng gāi duō zhù yì yī diǎn yí biǎo.
Chose a card at random from the deck.,3,从一副牌中任意选出一张,zòng yī fù pái zhòng rèn yì xuǎn chū yī zhāng
The camp has a plentiful supply of food.,3,营地有充足的食品供应。,yíng dì yǒu chōng zú de shí pǐn gōng yìng。
I do not remember all these formula.,3,这些公式我并不全都记得。,zhè xie gōng shì wǒ bìng bù quán dōu jì de。
The facts permit no other explanation.,3,事实不容许有其它的解释。,shì shí bù róng xǔ yǒu qí tā de jiě shì。
We sat quietly in the moonshine.,3,我们在月光下静静地坐着。,wǒ men zài yuè guāng xià jìng jìng de zuò zhuó。
The girl tied the ends of the thread.,3,这女孩把线的两端结起来。,zhè nu:3 hái bǎ xiàn de liǎng duān jié qǐ lai。
She gave me a diagram of railway network.,3,她给了我一张铁路网图解。,tā jǐ le wǒ yī zhāng tiě lù wǎng tú xiè。
She tried to needle me into losing my temper.,3,她想方设法惹我发脾气。,tā xiǎng fāng shè fǎ rě wǒ fà pí qì。
He pursues his aims with diligence.,3,他努力追求自己的奋斗目标.,tā nǔ lì zhuī qiú zì jǐ de fèn dòu mù biāo.
An hour is a measure of time.,3,小时是时间的一个量度单位。,xiǎo shí shì shí jiān de yī gè liáng dù dān wèi。
Bread is chiefly made of flour.,3,面包主要是由面粉做成的。,miàn bāo zhǔ yào shì yóu miàn fěn zuò chéng de。
She hesitated to hurt the child's feelings.,3,她不想伤害孩子的感情。,tā bù xiǎng shāng hài hái zi de gǎn qíng。
This landscape is disfigured by a power station.,3,风景被发电厂破坏了。,fēng jǐng bèi fā diàn chǎng pò huài le。
"A forceful, resounding blow.",3,重击有力而声音响亮的重击,zhòng jī yǒu lì ér shēng yīn xiǎng liàng de zhòng jī
Peasants used to be subject to the local landowner.,3,农民过去受地主的压迫.,nóng mín guò qu shòu dì zhǔ de yā pò.
He was forced by the circumstances to do this.,3,他做此事是为环境所迫。,tā zuò cǐ shì shì wèi huán jìng suǒ pò。
They decided to break with (ie not observe) tradition.,3,他们决定要打破传统.,tā men jué dìng yào dǎ pò chuán tǒng.
"If you provoke the dog, it will bite you.",3,"你招惹那条狗, 它会咬你的.","nǐ zhāo rě nà tiáo gǒu,  tā kuài yǎo nǐ de."
His failure is as plain as plain can be.,3,他的失败是再明白不过了。,tā de shī bài shì zài míng bai bù guò le。
The moonlight shone on the calm sea.,3,月光映在平静的海面上。,yuè guāng yìng zài píng jìng de hǎi miàn shàng。
She is like a child lusting for toys.,3,她像一个渴望玩具的小孩。,tā xiàng yī gè kě wàng wán jù de xiǎo hái。
Space rockets are being sent up all the time.,3,现在随时都有火箭发射.,xiàn zài suí shí dōu yǒu huǒ jiàn fā shè.
The engine draws water along the pipe.,3,发动机将水沿管道抽来。,fā dòng jī jiàng shuǐ yàn guǎn dào chōu lái。
Get me a printout of the statistics.,3,给我一份打印出的统计资料.,jǐ wǒ yī fèn dǎ yìn chū de tǒng jì zī liào.
Coal-miners are a tough breed.,3,煤矿工人都是能吃苦耐劳的.,méi kuàng gōng rén dōu shì néng chī kǔ nài láo de.
The heart is a vital organ.,3,心脏是维持生命必须的器官。,xīn zàng shì wéi chí shēng mìng bì xū de qì guān。
We put the books in piles on the floor.,3,我们把书在地板上堆起来。,wǒ men bǎ shū zài dì bǎn shàng duī qǐ lai。
She gave every appearance of being extremely rich.,3,她处处表现得极为阔气.,tā chù chù biǎo xiàn de jí wéi kuò qì.
Our work can be compared to a battle.,3,我们的工作好比一场战斗。,wǒ men de gōng zuò hǎo bǐ yī chǎng zhàn dòu。
He is dismissed for neglecting of duty.,3,他因玩忽职守而被开除了。,tā yīn wàn hū zhí shǒu ér bèi kāi chú le。
Four quarters make a whole.,3,四个四分之一可构成一个整体.,sì gè sì fēn zhī yī kě gòu chéng yī gè zhěng tǐ.
I've often heard tell of such things.,3,我时常听人说起这类事情.,wǒ shí cháng tìng rén shuō qǐ zhè lèi shì qing.
He keeps some books on the window ledge.,3,他把一些书放在窗台上。,tā bǎ yī xiē shū fàng zài chuāng tái shàng。
She pioneered the use of the drug.,3,是她最先使用的这种药品。,shì tā zuì xiān shǐ yòng de zhè zhǒng yào pǐn。
"The more he has, the more he wants.",3,他得到越多，想要的也越多。,tā dé dào yuè duō， xiǎng yào de yě yuè duō。
The police asked him to show his identity card.,3,警察让他出示身份证。,jǐng chá ràng tā chū shì shēn fèn zhèng。
This house should fetch a good price.,3,这所房子应该卖个好价钱。,zhè suǒ fáng zi yīng gāi mài gè hào jià qian。
We should act in conformity with the rules.,3,我们应该依照规定行事。,wǒ men yīng gāi yī zhào guī dìng xìng shì。
He wouldn't hear of my walking home alone.,3,他不许我单独一人走回家。,tā bù xǔ wǒ dān dú yī rén zǒu huí jiā。
I reasoned rather than quarreled with him.,3,我理论，而不是和他吵架。,wǒ lǐ lùn， ér bú shì huò tā chǎo jià。
His brain seems to be functioning normally.,3,他的大脑看来功能正常。,tā de dà nǎo kàn lai gōng néng zhèng cháng。
It was difficult to tell his exact age.,3,很难判断他到底多大岁数。,hěn nàn pàn duàn tā dào dǐ duō dà suì shu。
His original enthusiasm has turned sour.,3,他当初的积极性已淡下去了.,tā dāng chū de jī jí xìng yǐ dàn xià qu le.
Air pressure forces the water through the pipe.,3,空气压力使水通过管道.,kōng qì yā lì shǐ shuǐ tōng guò guǎn dào.
We made an application to the court for an inquiry.,3,我们曾请求法院调查。,wǒ men zēng qǐng qiú fǎ yuàn diào chá。
He likes to set himself up as an intellectual.,3,他喜欢自命为知识分子.,tā xǐ huan zì mìng wèi zhī shi fèn zǐ.
I saw your brother as late as last week.,3,上个礼拜我还看到你哥哥。,shàng gè lǐ bài wǒ huán kàn dào nǐ gē ge。
He had been courting Jane for six months.,3,他追求简已有六个月之久.,tā zhuī qiú jiǎn yǐ yǒu liù gè yuè zhī jiǔ.
They have surrounded the town with troops.,3,他们出动军队包围了该城.,tā men chū dòng jūn duì bāo wéi le gāi chéng.
I want to search out an old school friend.,3,我想寻找我的一个老同学。,wǒ xiǎng xún zhǎo wǒ de yī gè lǎo tóng xué。
Don't do anything that should go against his will.,3,不要做违背他心意的事。,bù yào zuò wéi bèi tā xīn yì de shì。
He finds it hard to say what he feels.,3,他觉得很难说出自己的感受.,tā jué de hěn nàn shuō chū zì jǐ de gǎn shòu.
I don't care a jot for their feelings.,3,我一点都不理会他们的感受.,wǒ yī diǎn dōu bù lǐ kuài tā men de gǎn shòu.
He ranged the books according to size.,3,他照大小顺序排列这些书。,tā zhào dà xiǎo shùn xù pái liè zhè xie shū。
The number of fish in coastal waters has decreased.,3,沿海鱼的数量已减少了.,yán hǎi yú de shù liàng yǐ jiǎn shǎo le.
People wore historical costumes for the parade.,3,人们穿著古装参加游行.,rén men chuān著 gǔ zhuāng cān jiā yóu xíng.
The wiring is faulty and needs to be replaced.,3,线路上有短路需要换线.,xiàn lù shàng yǒu duǎn lù xū yào huàn xiàn.
Have the nerve for [to do]sth.,3,有勇气做某事，有胆量做某事,yǒu yǒng qì zuò mǒu shì， yǒu dǎn liàng zuò mǒu shì
His behavior called forth sharp criticism.,3,他的行为招致尖锐的批评。,tā de xíng wéi zhāo zhì jiān ruì de pī píng。
This job is mainly administrative.,3,这份工作主要是行政性的。,zhè fèn gōng zuò zhǔ yào shì xíng zhèng xìng de。
He was impatient of any interruption.,3,他对任何打扰都感到不耐烦。,tā duì rèn hé dǎ rǎo dōu gǎn dào bù nài fán。
"We must run, otherwise we'll be too late.",3,"我们得跑著去, 要不就太晚了.","wǒ men de pǎo著 qù,  yào bu jiù tài wǎn le."
She paid no heed to our warnings.,3,她不把我们的警告放在心上。,tā bù bǎ wǒ men de jǐng gào fàng zài xīn shàng。
The mechanics of staging a play are very complicated.,3,排演话剧的过程很复杂.,pǎi yǎn huà jù de guò chéng hěn fù zá.
She paced out the length of the room.,3,她用步子测量了房间的长度.,tā yòng bù zi cè liàng le fáng jiān de cháng dù.
In the long run pricesare bound to rise.,3,"从长远看, 物价肯定要涨.","zòng cháng yuǎn kàn,  wù jià kěn dìng yào zhàng."
Weather forecasting is an inexact science.,3,天气预报是一门模糊的科学.,tiān qì yù bào shì yī mén mó hu de kē xué.
It is a leap in the process of cognition.,3,这是认识过程的一次飞跃。,zhè shì rèn shi guò chéng de yī cì fēi yuè。
I do not care what you will say about me.,3,我不在乎你们会说我什么。,wǒ bù zài hū nǐ men kuài shuō wǒ shén me。
The light was too dim for me to read easily.,3,光线太暗，我看书有困难。,guāng xiàn tài àn， wǒ kàn shū yǒu kùn nan。
The summer crops were forward this year.,3,今年夏季农作物成熟得早.,jīn nián xià jì nóng zuò wù chéng shú de zǎo.
The jury is/are about to announce the winners.,3,评委会即将宣布优胜者.,píng wěi kuài jí jiāng xuān bù yōu shèng zhě.
She was entrusted with the direction of the project.,3,她受委托负责这项计划.,tā shòu wěi tuō fù zé zhè xiàng jì huà.
"Lacking substance, value, or basis.",3,无实质的，无价值的，无根据的,wú shí zhì de， wú jià zhí de， wú gēn jù de
We have subscribed to an evening newspaper.,3,我们已经订阅了一份晚报。,wǒ men yǐ jīng dìng yuè le yī fèn wǎn bào。
She sing as merrily as a little bird.,3,她歌唱得象小鸟一样快乐。,tā gē chàng de xiàng xiǎo niǎo yí yàng kuài lè。
I booked a ticket through to Peking.,3,我预定了到北京的直达车票。,wǒ yù dìng le dào Běi jīng de zhí dá jū piào。
Her skirt has very exquisite lace.,3,她的裙子有非常精致的花边。,tā de qún zi yǒu fēi cháng jīng zhì de huā biān。
She is not free to follow her own inclination in the matter ofmarriage.,3,她的婚姻不能自主.,tā de hūn yīn bù néng zì zhǔ.
The tennis club has organized a dance.,3,网球俱乐部组织了一次舞会。,wǎng qiú jù yuè bù zǔ zhī le yī cì wǔ huì。
They stopped at the pub for a pint.,3,他们到酒店喝了一品脱的啤酒.,tā men dào jiǔ diàn hè le yī pǐn tuō de pí jiǔ.
The prohibition against smoking on school grounds is strictly enforced.,3,校园内严禁吸烟。,xiào yuán nèi yán jìn xī yān。
There are two new houses under construction.,3,有两座新房子正在修建。,yǒu liǎng zuò xīn fáng zi zhèng zài xiū jiàn。
They've made an urgent request for international aid.,3,他们紧急请求国际援助。,tā men jǐn jí qǐng qiú guó jì yuán zhù。
The nurse took a sample of my blood for tests.,3,护士抽了我的血样去化验。,hù shi chōu le wǒ de xuè yàng qù huà yàn。
She portioned out the money equally between both children.,3,她把钱均分给两个孩子.,tā bǎ qián jūn fēn jǐ liǎng gè hái zi.
This show is going out live.,3,这场演出正在进行实况转播.,zhè chǎng yǎn chū zhèng zài jìn xíng shí kuàng zhuǎn bō.
One may call it a mistake in tactics.,3,这可以说是一个战术的错误。,zhè kě yǐ shuō shì yī gè zhàn shù de cuò wù。
He set up a fine example to all of us.,3,他为我们树立了一个好榜样。,tā wèi wǒ men shù lì le yī gè hào bǎng yàng。
He cleared away the rubbish at door yesterday.,3,昨天他清除了门前的垃圾。,zuó tiān tā qīng chú le mén qián de垃圾。
Dinosaurs have been extinct for millions of years.,3,恐龙已绝种几百万年了。,kǒng lóng yǐ jué zhòng jǐ bǎi Wàn nián le。
Think of it in terms of an investment.,3,从投资的角度来考虑那件事.,zòng tóu zī de jiǎo dù lái kǎo lu:4 nà jiàn shì.
She drew me aside and whispered in my ear.,3,她把我拉到一旁，对我耳语。,tā bǎ wǒ lā dào yī páng， duì wǒ ěr yǔ。
Our manager is very strict with us.,3,我们的经理对我们要求很严格。,wǒ men de jīng lǐ duì wǒ men yāo qiú hěn yán gé。
The teacher is very strict with his students.,3,老师对他的学生非常严格。,lǎo shī duì tā de xué sheng fēi cháng yán gé。
The ceremony was something like a christening.,3,那个典礼有点像洗礼仪式.,nèi gè diǎn lǐ yǒu diǎn xiàng xǐ lǐ yí shì.
"He's not an officer, but a common soldier.",3,他不是军官而是普通士兵。,tā bú shì jūn guān ér shì pǔ tōng shì bīng。
He takes my sister out to the theatre now and then.,3,他时常带我妹妹去剧院。,tā shí cháng dài wǒ mèi mei qù jù yuàn。
The little cat drank its milk and washed its face.,3,小猫喝了牛奶，又洗了脸。,xiǎo māo hè le niú nǎi， yòu xǐ le liǎn。
It was difficult to gauge how people would respond.,3,大家的反应如何难以估计。,dà jiā de fǎn yìng rú hé nán yǐ gū jì。
The machine stops and starts at a touch.,3,这机器一触即可停止或开动.,zhè jī qì yī chù jí kě tíng zhǐ huò kāi dòng.
I wouldn't sell that picture for all the world.,3,我无论如何也不卖那幅画.,wǒ wú lùn rú hé yě bù mài nà fú huà.
This machine crushes wheat grain to make flour.,3,这台机器把麦子磨成面粉。,zhè tái jī qì bǎ mài zi mò chéng miàn fěn。
The government is reviewing the situation.,3,政府正在重新检讨形势。,zhèng fǔ zhèng zài chóng xīn jiǎn tǎo xíng shì。
Standing by him was a model worker.,3,站在他旁的是一位劳动模范。,zhàn zài tā páng de shì yī wèi láo dòng mó fàn。
The child is going through a difficult phase.,3,那孩子正经历困难的阶段。,nà hái zi zhèng jing lì kùn nan de jiē duàn。
A smile animated her face.,3,一丝笑容使她脸上平添了生气.,yī sī xiào róng shǐ tā liǎn shàng píng tiān le shēng qì.
This machine crushes wheat grain to make flour.,3,这台机器把麦子磨成面粉。,zhè tái jī qì bǎ mài zi mò chéng miàn fěn。
She spins goat's hair into wool/spins wool from goat's hair.,3,她把山羊毛纺成毛线.,tā bǎ shān yáng máo fǎng chéng máo xiàn.
You need a sharp knife to cut through the knot.,3,你需用快刀才能把结切断.,nǐ xū yòng kuài dāo cái néng bǎ jié qiē duàn.
Certain plants have medicinal (ie healing) properties.,3,某些植物具有药物效用.,mǒu xiē zhí wù jù yǒu yào wù xiào yòng.
A new rule will soon come into being.,3,一个新规则很快就要出台了。,yī gè xīn guī zé hěn kuài jiù yào chū tái le。
I run fast so that I may catch the train.,3,我快跑为的是要赶上火车。,wǒ kuài pǎo wèi de shì yào gǎn shàng huǒ chē。
His words hurt the reader's sensibility.,3,他的言语伤害了读者的感情。,tā de yán yǔ shāng hài le dú zhě de gǎn qíng。
She always gets the better of our quarrels.,3,我们吵架时她总是占上风.,wǒ men chǎo jià shí tā zǒng shì zhàn shàng fēng.
He grunted as the bullet hit him.,3,子弹击中他时他疼得哼了出来。,zǐ dàn jī zhòng tā shí tā téng de hng le chū lai。
He posted a bulletin on the board.,3,他在布告板上贴了一张公告。,tā zài bù gào bǎn shàng tiē le yī zhāng gōng gào。
The new play was a spectacular success.,3,这出新戏获得了巨大的成功。,zhè chū xīn xì huò dé le jù dà de chéng gōng。
This washing machine is the latest model.,3,这种洗衣机是最新型产品。,zhè zhǒng xǐ yì jī shì zuì xīn xíng chǎn pǐn。
I only wear high heels on special occasions.,3,我只在特殊场合穿高跟鞋。,wǒ zhǐ zài tè shū chǎng hé chuān gāo gēn xié。
My secretary is an absolute gem.,3,我的秘书真是个难能可贵的人。,wǒ de mì shū zhēn shì gè nàn néng kě guì de rén。
America is a competitive society.,3,美国是一个充满竞争的社会。,Měi guó shì yī gè chōng mǎn jìng zhēng de shè huì。
The pot shattered as it hit the floor.,3,罐子掉在地板上摔了个粉碎.,guàn zi diào zài dì bǎn shàng shuāi le gè fěn suì.
This engine is made up of 20 parts.,3,这台机器由二十个零件组成。,zhè tái jī qì yóu èr shí gè líng jiàn zǔ chéng。
This theory is at variance with the known facts.,3,这种理论与已知事实不符。,zhè zhǒng lǐ lùn yù yǐ zhī shì shí bù fú。
He wrote a poem praising her loveliness.,3,他写了一首诗赞扬她的美丽。,tā xiě le yī shǒu shī zàn yáng tā de měi lì。
Workers are removing impurities from silver.,3,工人们正去除银中的杂质。,gōng rén men zhèng qù chú yín zhòng dì zá zhì。
The county town is a hundred li or so away from here.,3,县城离这有百儿八十里。,xiàn chéng lí zhè yǒu bǎi er bā shí lǐ。
The hospital imported some surgical instruments.,3,医院进口了一些外科器械。,yī yuàn jìn kǒu le yī xiē wài kē qì xiè。
Too much television rots your brain.,3,多看电视会使你的头脑退化。,duō kàn diàn shì kuài shǐ nǐ de tóu nǎo tuì huà。
Dwellers here live a happy life now.,3,现在这里居民的生活很幸福。,xiàn zài zhè lǐ jū mín de shēng huó hěn xìng fú。
The doctor gestured me to take off my coat.,3,医生做手势要我脱去外套。,yī shēng zuò shǒu shì yào wǒ tuō qù wài tào。
The beauty of the scene filled us with enchantment.,3,我们被美丽的景色迷住了。,wǒ men bèi měi lì de jǐng sè mí zhù le。
The ball is filled with gaseous mixture.,3,那个球被充满了气体混合物。,nèi gè qiú bèi chōng mǎn le qì tǐ hùn hé wù。
I'm unfamiliar with this type of computer.,3,我不熟悉这种类型的计算机.,wǒ bù shú xī zhè zhǒng lèi xíng de jì suàn jī.
The play folded within a fortnight.,3,那话剧演了两个星期就停演了.,nà huà jù yǎn le liǎng gè xīng qī jiù tíng yǎn le.
It was painful to admit that I was wrong.,3,要我承认错了，是很费力的。,yào wǒ chéng rèn cuò le， shì hěn fèi lì de。
He always acted with great dignity.,3,他的举止一向十分端庄体面。,tā de jǔ zhǐ yí xiàng shí fēn duān zhuāng tǐ miàn。
Everyone uncovered when the signal sounded.,3,信号响时，人人脱帽致敬。,xìn hào xiǎng shí， rén rén tuō mào zhì jìng。
"I study hard, so that I may not fail in the examinations.",3,我用功，免得考不及格。,wǒ yòng gōng， miǎn de kǎo bù jí gé。
The students take the admonition from their teacher.,3,学生们接受老师的劝告。,xué sheng men jiē shòu lǎo shī de quàn gào。
"Not only is it legal, it's very popular.",3,这不但合法，而且非常普遍。,zhè bù dàn hé fǎ， ér qiě fēi cháng pǔ biàn。
Pandas are loved by people all over the world.,3,熊猫被全世界的人们喜爱。,xióng māo bèi quán shì jiè de rén men xǐ ài。
There's only a marginal difference between the two estimates.,3,这两种估计差别很小.,zhè liǎng zhòng gū jì chā bié hěn xiǎo.
Setting up this business was a bit of a gamble.,3,开办这样的公司有点冒险.,kāi bàn zhè yàng de gōng sī yǒu diǎn mào xiǎn.
They argued to the point of fighting with each other.,3,他们争吵到打架的程度。,tā men zhēng chǎo dào dǎ jià de chéng dù。
We had only limited communion with the natives.,3,我们与本地人的交往有限。,wǒ men yù běn dì rén de jiāo wǎng yǒu xiàn。
The style of this skirt is just in season.,3,这条裙子的款式正当时令。,zhè tiáo qún zi de kuǎn shì zhèng dāng shí lìng。
She spins goat's hair into wool/spins wool from goat's hair.,3,她把山羊毛纺成毛线.,tā bǎ shān yáng máo fǎng chéng máo xiàn.
A cold shower will soon wake you up.,3,"你洗个冷水澡, 马上就清醒了.","nǐ xǐ gè lěng shuǐ zǎo,  mǎ shàng jiù qīng xǐng le."
